commune,volume_borne__m3_,trappe_gros_producteurs,cliiink,consignes_de_tri_à_jour,nb_benne,Population_municipale_2020
Ablain-Saint-Nazaire,12.0,0,1,1,3,1929
Acheville,4.0,0,1,0,1,599
Aix-Noulette,32.0,0,3,1,8,3917
Angres,28.0,0,3,1,7,4777
Annay-sous-Lens,28.0,0,3,0,7,4477
Avion,136.0,15,11,15,49,17676
Billy-Montigny,64.0,0,6,5,16,8185
Bouvigny-Boyeffles,24.0,0,2,0,6,2376
Bully-les-Mines,100.0,1,12,9,26,12080
Bénifontaine,8.0,0,1,1,2,350
Carency,8.0,0,1,1,2,796
Eleu-dit-Leauwette,24.0,0,2,4,6,2844
Estévelles,16.0,0,1,0,4,2031
Fouquières-lès-Lens,48.0,0,4,3,12,6333
Givenchy-en-Gohelle,16.0,0,1,1,4,2003
Gouy-Servins,4.0,0,1,0,1,350
Grenay,64.0,2,5,2,18,6748
Harnes,100.0,2,8,1,29,12277
Hulluch,24.0,3,6,4,10,3380
Lens,258.0,55,34,38,113,32458
Liévin,160.0,32,23,22,72,30102
Loison-sous-Lens,48.0,0,4,3,12,5308
Loos-en-Gohelle,64.0,2,15,4,18,6904
Mazingarbe,44.0,0,5,2,11,8029
Meurchin,8.0,1,2,1,3,3728
Méricourt,64.0,2,8,8,18,11374
Noyelles-sous-Lens,16.0,2,4,0,6,6590
Pont-à-Vendin,8.0,1,2,0,3,3116
Sains-en-Gohelle,3.0,1,0,1,1,6035
Sallaumines,28.0,1,7,3,8,9575
Servins,8.0,0,1,0,2,1133
Souchez,8.0,0,2,0,2,2643
Vendin-le-Vieil,24.0,2,6,1,8,8419
Villers-au-Bois,4.0,0,1,0,1,614
Vimy,12.0,0,3,0,3,4332
Wingles,24.0,2,6,1,8,8750
